Gas,Calc_Trans J/mol*K,Calc_Rot J/mol*K,Calc_Vib J/mol*K,Calc_Cp J/mol*K,Calc_Cv J/mol*K,Calc_ratio,Mol_mass
N2O,20.79,8.31,10.82,39.92,31.606,1.263051319,0.04402
CO2,20.79,8.31,10.51,39.61,31.296,1.265656953,0.04401
O2,20.79,8.31,0.03,29.14,20.826,1.399212523,0.032
N2,20.79,8.31,0,29.1,20.786,1.399980756,0.02802
Argon,20.79,0,0,20.79,12.476,1.666399487,0.03995
Methane,20.79,12.47,2.25,35.51,27.196,1.305706722,0.01604
Ethane,20.7,12.47,17.79,51.05,42.736,1.194543242,0.03007
Difluoromethane,20.7,12.47,11.07,44.33,36.016,1.230841848,0.05203
Difluoroethane,20.7,12.47,32.81,66.07,57.756,1.143950412,0.06605
"1,1,1,2-Tetrafluoroethane",20.7,12.47,50.63,83.89,75.576,1.110008468,0.10204
"2,3,3,3-Tetrafluoropropene",20.7,12.47,64.77,98.03,89.716,1.092670204,0.11405
Air,,,,29.035301,20.721301,1.401229633,0.02897
NaturalGas100,,,,35.51,27.196,1.305706722,0.01604
NaturalGas95.5,,,,34.1673,25.8533,1.321583705,0.01612